type,id,name,campus,district,county,overall,overall_score,1_achievement,1_achievement_score,2_progress,2_progress_score,3_gaps,3_gaps_score,student_pop,region,perc_econ_disadvantage,type_detail,absolute_url
campus,37904004.0,COMPASS CENTER,COMPASS CENTER,JACKSONVILLE ISD,Cherokee,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,20,REGION 07: KILGORE,75.0%,Elem/Secondary,/districts/jacksonville-isd/compass-center/
campus,37904042.0,JACKSONVILLE MIDDLE,JACKSONVILLE MIDDLE,JACKSONVILLE ISD,Cherokee,C,76,Not Rated: Senate Bill 1365,69,C,77,C,75,715,REGION 07: KILGORE,82.8%,Middle School,/districts/jacksonville-isd/jacksonville-middle-school/
campus,37904043.0,NICHOLS INT,NICHOLS INT,JACKSONVILLE ISD,Cherokee,C,77,C,70,C,79,C,73,662,REGION 07: KILGORE,83.7%,Middle School,/districts/jacksonville-isd/nichols-intermediate-school/
campus,37904102.0,EAST SIDE EL,EAST SIDE EL,JACKSONVILLE ISD,Cherokee,B,83,C,77,B,83,B,82,571,REGION 07: KILGORE,74.8%,Elementary,/districts/jacksonville-isd/east-side-elementary-school/
campus,37904103.0,FRED DOUGLASS,FRED DOUGLASS,JACKSONVILLE ISD,Cherokee,C,74,C,71,C,78,Not Rated: Senate Bill 1365,65,595,REGION 07: KILGORE,86.7%,Elementary,/districts/jacksonville-isd/fred-douglass/
campus,37904104.0,WEST SIDE EL,WEST SIDE EL,JACKSONVILLE ISD,Cherokee,C,74,Not Rated: Senate Bill 1365,65,C,75,C,73,372,REGION 07: KILGORE,94.9%,Elementary,/districts/jacksonville-isd/west-side-elementary-school/
campus,37904105.0,JOE WRIGHT EL,JOE WRIGHT EL,JACKSONVILLE ISD,Cherokee,B,85,C,71,A,90,C,74,536,REGION 07: KILGORE,89.4%,Elementary,/districts/jacksonville-isd/joe-wright-elementary-school/
district,37907.0,RUSK ISD,,RUSK ISD,Cherokee,C,79,B,80,B,80,C,75,"2,001",REGION 07: KILGORE,70.9%,District,/districts/rusk-isd/
campus,37907002.0,RUSK H S,RUSK H S,RUSK ISD,Cherokee,C,76,C,79,C,77,Not Rated: Senate Bill 1365,68,594,REGION 07: KILGORE,63.1%,High School,/districts/rusk-isd/rusk-high-school/
campus,37907041.0,RUSK J H,RUSK J H,RUSK ISD,Cherokee,B,83,C,79,B,86,C,75,481,REGION 07: KILGORE,69.4%,Middle School,/districts/rusk-isd/rusk-junior-high/
campus,37907100.0,RUSK INT,RUSK INT,RUSK ISD,Cherokee,C,74,C,73,C,79,Not Rated: Senate Bill 1365,62,285,REGION 07: KILGORE,72.6%,Elementary,/districts/rusk-isd/rusk-intermediate-school/
campus,37907102.0,RUSK EL,RUSK EL,RUSK ISD,Cherokee,B,89,B,85,A,90,B,88,256,REGION 07: KILGORE,75.4%,Elementary,/districts/rusk-isd/rusk-elementary-school/
campus,37907103.0,GW BRADFORD PRI,GW BRADFORD PRI,RUSK ISD,Cherokee,B,89,Not Rated,.,Not Rated,.,Not Rated,.,385,REGION 07: KILGORE,80.5%,Elementary,/districts/rusk-isd/gw-bradford-primary-school/
district,37908.0,NEW SUMMERFIELD ISD,,NEW SUMMERFIELD ISD,Cherokee,B,88,B,87,A,90,B,83,538,REGION 07: KILGORE,86.8%,District,/districts/new-summerfield-isd/
campus,37908001.0,NEW SUMMERFIELD SCHOOL,NEW SUMMERFIELD SCHOOL,NEW SUMMERFIELD ISD,Cherokee,B,88,B,87,A,90,B,83,538,REGION 07: KILGORE,86.8%,Elem/Secondary,/districts/new-summerfield-isd/new-summerfield-school/
district,37909.0,WELLS ISD,,WELLS ISD,Cherokee,B,87,B,87,A,91,C,77,258,REGION 07: KILGORE,68.6%,District,/districts/wells-isd/
campus,37909001.0,WELLS SCHOOL,WELLS SCHOOL,WELLS ISD,Cherokee,B,87,B,87,A,91,C,77,258,REGION 07: KILGORE,68.6%,Elem/Secondary,/districts/wells-isd/wells-high-school/
district,38901.0,CHILDRESS ISD,,CHILDRESS ISD,Childress,A,90,A,90,A,90,B,89,"1,013",REGION 16: AMARILLO,53.7%,District,/districts/childress-isd/
campus,38901001.0,CHILDRESS H S,CHILDRESS H S,CHILDRESS ISD,Childress,B,88,B,89,B,84,B,87,294,REGION 16: AMARILLO,39.8%,High School,/districts/childress-isd/childress-high-school/
campus,38901041.0,CHILDRESS J H,CHILDRESS J H,CHILDRESS ISD,Childress,C,78,C,79,C,77,C,75,269,REGION 16: AMARILLO,48.3%,Middle School,/districts/childress-isd/childress-junior-high/
campus,38901102.0,CHILDRESS EL,CHILDRESS EL,CHILDRESS ISD,Childress,A,91,A,92,A,92,B,89,450,REGION 16: AMARILLO,66.0%,Elementary,/districts/childress-isd/childress-elementary-school/
district,39902.0,HENRIETTA ISD,,HENRIETTA ISD,Clay,B,86,B,89,B,83,C,78,942,REGION 09: WICHITA FALLS,30.8%,District,/districts/henrietta-isd/
campus,39902001.0,HENRIETTA H S,HENRIETTA H S,HENRIETTA ISD,Clay,A,90,A,92,B,80,B,85,290,REGION 09: WICHITA FALLS,19.0%,High School,/districts/henrietta-isd/henrietta-high-school/
campus,39902041.0,HENRIETTA MIDDLE,HENRIETTA MIDDLE,HENRIETTA ISD,Clay,B,81,B,83,C,72,C,75,220,REGION 09: WICHITA FALLS,30.9%,Middle School,/districts/henrietta-isd/henrietta-middle-school/
campus,39902101.0,HENRIETTA EL,HENRIETTA EL,HENRIETTA ISD,Clay,C,74,C,76,Not Rated: Senate Bill 1365,63,Not Rated: Senate Bill 1365,68,432,REGION 09: WICHITA FALLS,38.7%,Elementary,/districts/henrietta-isd/henrietta-elementary-school/
district,39903.0,PETROLIA CISD,,PETROLIA CISD,Clay,B,84,B,85,B,80,B,81,461,REGION 09: WICHITA FALLS,46.2%,District,/districts/petrolia-cisd/
campus,39903001.0,PETROLIA JUNIOR HIGH/HIGH SCHOOL,PETROLIA JUNIOR HIGH/HIGH SCHOOL,PETROLIA CISD,Clay,B,84,B,85,B,87,C,76,197,REGION 09: WICHITA FALLS,37.6%,High School,/districts/petrolia-cisd/petrolia-junior-highhigh-school/
campus,39903101.0,PETROLIA EL,PETROLIA EL,PETROLIA CISD,Clay,Not Rated: Senate Bill 1365,66,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,60,264,REGION 09: WICHITA FALLS,52.7%,Elementary,/districts/petrolia-cisd/petrolia-elementary-school/
district,39904.0,BELLEVUE ISD,,BELLEVUE ISD,Clay,C,75,C,77,C,73,C,71,151,REGION 09: WICHITA FALLS,54.3%,District,/districts/bellevue-isd/
campus,39904001.0,BELLEVUE SCHOOL,BELLEVUE SCHOOL,BELLEVUE ISD,Clay,C,75,C,77,C,73,C,71,151,REGION 09: WICHITA FALLS,54.3%,Elem/Secondary,/districts/bellevue-isd/bellevue-school/
district,39905.0,MIDWAY ISD,,MIDWAY ISD,Clay,B,86,B,87,B,84,B,83,131,REGION 09: WICHITA FALLS,63.4%,District,/districts/midway-isd-clay/
campus,39905001.0,MIDWAY SCHOOL,MIDWAY SCHOOL,MIDWAY ISD,Clay,B,86,B,87,B,84,B,83,131,REGION 09: WICHITA FALLS,63.4%,Elem/Secondary,/districts/midway-isd-clay/midway-school/
district,40901.0,MORTON ISD,,MORTON ISD,Cochran,B,82,C,79,B,85,C,75,360,REGION 17: LUBBOCK,80.3%,District,/districts/morton-isd/
campus,40901001.0,MORTON SCHOOL,MORTON SCHOOL,MORTON ISD,Cochran,B,82,C,79,B,85,C,75,360,REGION 17: LUBBOCK,80.3%,Elem/Secondary,/districts/morton-isd/morton-school/
district,40902.0,WHITEFACE CISD,,WHITEFACE CISD,Cochran,B,84,B,86,B,86,B,80,313,REGION 17: LUBBOCK,57.2%,District,/districts/whiteface-cisd/
campus,40902001.0,WHITEFACE SCHOOL,WHITEFACE SCHOOL,WHITEFACE CISD,Cochran,B,84,B,86,B,86,B,80,313,REGION 17: LUBBOCK,57.2%,Elem/Secondary,/districts/whiteface-cisd/whiteface-school/
district,41901.0,BRONTE ISD,,BRONTE ISD,Coke,A,91,A,92,A,91,B,87,238,REGION 15: SAN ANGELO,50.0%,District,/districts/bronte-isd/
campus,41901001.0,BRONTE ISD,BRONTE ISD,BRONTE ISD,Coke,A,91,A,92,A,91,B,87,238,REGION 15: SAN ANGELO,50.0%,Elem/Secondary,/districts/bronte-isd/bronte-isd/
district,41902.0,ROBERT LEE ISD,,ROBERT LEE ISD,Coke,B,87,B,88,A,90,B,80,262,REGION 15: SAN ANGELO,62.2%,District,/districts/robert-lee-isd/
campus,41902001.0,ROBERT LEE SCHOOL,ROBERT LEE SCHOOL,ROBERT LEE ISD,Coke,B,85,B,88,B,89,C,76,255,REGION 15: SAN ANGELO,61.2%,Elem/Secondary,/districts/robert-lee-isd/robert-lee-school/
campus,41902002.0,FAIRVIEW ACCELERATED,FAIRVIEW ACCELERATED,ROBERT LEE ISD,Coke,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,2,REGION 15: SAN ANGELO,100.0%,High School,/districts/robert-lee-isd/fairview-accelerated/
campus,41902005.0,FAIRVIEW DAEP,FAIRVIEW DAEP,ROBERT LEE ISD,Coke,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,2,REGION 15: SAN ANGELO,100.0%,Middle School,
campus,41902102.0,VERIBEST SPECIAL PROGRAMS,VERIBEST SPECIAL PROGRAMS,ROBERT LEE ISD,Coke,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,1,REGION 15: SAN ANGELO,100.0%,Elementary,
campus,41902180.0,WALL SP PROG,WALL SP PROG,ROBERT LEE ISD,Coke,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,1,REGION 15: SAN ANGELO,100.0%,Middle School,/districts/robert-lee-isd/wall-sp-prog/
campus,41902195.0,FAIRVIEW SPECIAL PROGRAMS,FAIRVIEW SPECIAL PROGRAMS,ROBERT LEE ISD,Coke,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,1,REGION 15: SAN ANGELO,100.0%,High School,/districts/robert-lee-isd/fairview-special-programs/
district,42901.0,COLEMAN ISD,,COLEMAN ISD,Coleman,B,84,B,80,B,86,C,78,800,REGION 15: SAN ANGELO,59.6%,District,/districts/coleman-isd/
campus,42901001.0,COLEMAN H S,COLEMAN H S,COLEMAN ISD,Coleman,B,84,B,83,B,84,B,83,207,REGION 15: SAN ANGELO,49.3%,High School,/districts/coleman-isd/coleman-high-school/
campus,42901041.0,COLEMAN J H,COLEMAN J H,COLEMAN ISD,Coleman,C,78,C,76,B,80,C,74,241,REGION 15: SAN ANGELO,57.7%,Middle School,/districts/coleman-isd/coleman-junior-high/
campus,42901102.0,COLEMAN EL,COLEMAN EL,COLEMAN ISD,Coleman,Not Rated: Senate Bill 1365,67,C,70,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,60,352,REGION 15: SAN ANGELO,67.0%,Elementary,/districts/coleman-isd/coleman-elementary-school/
district,42903.0,SANTA ANNA ISD,,SANTA ANNA ISD,Coleman,A,90,A,91,A,94,B,82,253,REGION 15: SAN ANGELO,100.0%,District,/districts/santa-anna-isd/
campus,42903001.0,SANTA ANNA SECONDARY,SANTA ANNA SECONDARY,SANTA ANNA ISD,Coleman,B,89,A,90,A,92,B,83,132,REGION 15: SAN ANGELO,100.0%,High School,/districts/santa-anna-isd/santa-anna-secondary/
campus,42903101.0,SANTA ANNA EL,SANTA ANNA EL,SANTA ANNA ISD,Coleman,B,85,C,72,B,89,C,77,121,REGION 15: SAN ANGELO,100.0%,Elementary,/districts/santa-anna-isd/santa-anna-elementary-school/
district,42905.0,PANTHER CREEK CISD,,PANTHER CREEK CISD,Coleman,B,87,B,88,A,91,C,77,165,REGION 15: SAN ANGELO,73.9%,District,/districts/panther-creek-cisd/
campus,42905001.0,PANTHER CREEK SCHOOL,PANTHER CREEK SCHOOL,PANTHER CREEK CISD,Coleman,B,87,B,88,A,91,C,77,165,REGION 15: SAN ANGELO,73.9%,Elem/Secondary,/districts/panther-creek-cisd/panther-creek-school/
district,43801.0,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,Collin,A,98,A,97,A,91,A,100,"1,386",REGION 10: RICHARDSON,9.0%,District,/districts/imagine-international-academy-of-n/
campus,43801001.0,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,Collin,A,98,A,97,A,91,A,100,"1,386",REGION 10: RICHARDSON,9.0%,Elem/Secondary,/districts/imagine-international-academy-of-n/imagine-international-academy-of-n/
district,43802.0,LONE STAR LANGUAGE ACADEMY,,LONE STAR LANGUAGE ACADEMY,Collin,A,98,A,92,A,97,A,100,146,REGION 10: RICHARDSON,2.1%,District,/districts/lone-star-language-academy/
campus,43802101.0,LONE STAR LANGUAGE ACADEMY,LONE STAR LANGUAGE ACADEMY,LONE STAR LANGUAGE ACADEMY,Collin,A,98,A,92,A,97,A,100,146,REGION 10: RICHARDSON,2.1%,Elementary,/districts/lone-star-language-academy/lone-star-language-academy/
district,43901.0,ALLEN ISD,,ALLEN ISD,Collin,A,94,B,89,A,92,A,99,"21,420",REGION 10: RICHARDSON,16.8%,District,/districts/allen-isd/
campus,43901001.0,ALLEN H S,ALLEN H S,ALLEN ISD,Collin,A,93,A,93,B,83,A,92,"5,315",REGION 10: RICHARDSON,11.5%,High School,/districts/allen-isd/allen-high-school/
campus,43901002.0,LOWERY FRESHMAN CENTER,LOWERY FRESHMAN CENTER,ALLEN ISD,Collin,A,90,A,92,C,78,B,85,"1,784",REGION 10: RICHARDSON,13.9%,High School,/districts/allen-isd/lowery-freshman-center/
campus,43901003.0,COLLIN CO J J A E P,COLLIN CO J J A E P,ALLEN ISD,Collin,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,1,REGION 10: RICHARDSON,0.0%,High School,
campus,43901042.0,W E PETE FORD MIDDLE,W E PETE FORD MIDDLE,ALLEN ISD,Collin,A,92,A,91,A,91,A,95,847,REGION 10: RICHARDSON,26.9%,Middle School,/districts/allen-isd/w-e-pete-ford-middle-school/
campus,43901043.0,WALTER & LOIS CURTIS MIDDLE,WALTER & LOIS CURTIS MIDDLE,ALLEN ISD,Collin,A,91,A,93,A,91,B,85,"1,343",REGION 10: RICHARDSON,17.3%,Middle School,/districts/allen-isd/walter-lois-curtis-middle-school/
campus,43901044.0,ERECKSON MIDDLE,ERECKSON MIDDLE,ALLEN ISD,Collin,A,95,A,94,A,94,A,96,"1,256",REGION 10: RICHARDSON,14.8%,Middle School,/districts/allen-isd/ereckson-middle-school/
campus,43901101.0,D L ROUNTREE EL,D L ROUNTREE EL,ALLEN ISD,Collin,C,78,Not Rated: Senate Bill 1365,65,B,80,C,73,441,REGION 10: RICHARDSON,57.1%,Elementary,/districts/allen-isd/d-l-rountree-elementary-school/
campus,43901102.0,ALTON BOYD EL,ALTON BOYD EL,ALLEN ISD,Collin,C,76,Not Rated: Senate Bill 1365,69,C,77,C,74,553,REGION 10: RICHARDSON,53.9%,Elementary,/districts/allen-isd/alton-boyd-elementary-school/
campus,43901104.0,GENE M REED EL,GENE M REED EL,ALLEN ISD,Collin,A,90,B,88,B,80,A,94,471,REGION 10: RICHARDSON,32.5%,Elementary,/districts/allen-isd/gene-m-reed-elementary-school/
campus,43901105.0,ALVIS C STORY EL,ALVIS C STORY EL,ALLEN ISD,Collin,C,78,C,78,C,79,C,74,453,REGION 10: RICHARDSON,19.9%,Elementary,/districts/allen-isd/alvis-c-story-elementary-school/
campus,43901106.0,MAX O VAUGHAN EL,MAX O VAUGHAN EL,ALLEN ISD,Collin,A,95,A,93,A,92,A,98,696,REGION 10: RICHARDSON,17.1%,Elementary,/districts/allen-isd/max-o-vaughan-elementary-school/
campus,43901107.0,FLOSSIE FLOYD GREEN EL,FLOSSIE FLOYD GREEN EL,ALLEN ISD,Collin,A,93,A,91,B,89,A,98,574,REGION 10: RICHARDSON,17.6%,Elementary,/districts/allen-isd/flossie-floyd-green-elementary-school/
campus,43901108.0,FRANCES E NORTON EL,FRANCES E NORTON EL,ALLEN ISD,Collin,A,93,A,93,B,88,A,94,672,REGION 10: RICHARDSON,12.9%,Elementary,/districts/allen-isd/frances-e-norton-elementary-school/
campus,43901109.0,GEORGE J ANDERSON EL,GEORGE J ANDERSON EL,ALLEN ISD,Collin,A,92,A,90,B,85,A,98,397,REGION 10: RICHARDSON,16.6%,Elementary,/districts/allen-isd/george-j-anderson-elementary-school/
campus,43901110.0,BOLIN EL,BOLIN EL,ALLEN ISD,Collin,A,91,A,91,B,88,A,92,533,REGION 10: RICHARDSON,20.3%,Elementary,/districts/allen-isd/bolin-elementary-school/
campus,43901111.0,KERR EL,KERR EL,ALLEN ISD,Collin,A,95,A,93,A,93,A,100,711,REGION 10: RICHARDSON,12.1%,Elementary,/districts/allen-isd/kerr-elementary-school/
campus,43901112.0,JAMES AND MARGIE MARION EL,JAMES AND MARGIE MARION EL,ALLEN ISD,Collin,A,90,A,91,B,88,B,88,549,REGION 10: RICHARDSON,17.5%,Elementary,/districts/allen-isd/james-and-margie-marion-elementary-school/
campus,43901113.0,DR E T BOON EL,DR E T BOON EL,ALLEN ISD,Collin,A,95,A,94,A,90,A,96,770,REGION 10: RICHARDSON,11.8%,Elementary,/districts/allen-isd/dr-e-t-boon-elementary-school/
campus,43901114.0,CARLENA CHANDLER EL,CARLENA CHANDLER EL,ALLEN ISD,Collin,A,93,A,91,A,90,A,96,583,REGION 10: RICHARDSON,16.6%,Elementary,/districts/allen-isd/carlena-chandler-elementary-school/
campus,43901115.0,MARY EVANS EL,MARY EVANS EL,ALLEN ISD,Collin,A,97,A,95,A,92,A,100,732,REGION 10: RICHARDSON,7.7%,Elementary,/districts/allen-isd/mary-evans-elementary-school/
campus,43901116.0,DAVID AND LYNDA OLSON EL,DAVID AND LYNDA OLSON EL,ALLEN ISD,Collin,A,93,A,91,A,91,A,98,537,REGION 10: RICHARDSON,18.4%,Elementary,/districts/allen-isd/david-and-lynda-olson-elementary-school/
campus,43901117.0,BEVERLY CHEATHAM EL,BEVERLY CHEATHAM EL,ALLEN ISD,Collin,A,95,A,93,A,91,A,100,747,REGION 10: RICHARDSON,16.9%,Elementary,/districts/allen-isd/beverly-cheatham-elementary-school/
campus,43901118.0,LOIS LINDSEY EL,LOIS LINDSEY EL,ALLEN ISD,Collin,A,95,A,93,A,90,A,100,842,REGION 10: RICHARDSON,15.9%,Elementary,/districts/allen-isd/lois-lindsey-elementary-school/
campus,43901119.0,JENNY PRESTON EL,JENNY PRESTON EL,ALLEN ISD,Collin,A,95,A,93,A,92,A,100,613,REGION 10: RICHARDSON,5.4%,Elementary,/districts/allen-isd/jenny-preston-elementary-school/
district,43902.0,ANNA ISD,,ANNA ISD,Collin,B,86,B,84,B,88,B,81,"4,436",REGION 10: RICHARDSON,50.5%,District,/districts/anna-isd/
campus,43902001.0,ANNA H S,ANNA H S,ANNA ISD,Collin,B,86,B,85,B,86,B,87,"1,209",REGION 10: RICHARDSON,46.2%,High School,/districts/anna-isd/anna-high-school/
campus,43902005.0,ANNA ISD DAEP,ANNA ISD DAEP,ANNA ISD,Collin,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,10,REGION 10: RICHARDSON,90.0%,Elem/Secondary,/districts/anna-isd/anna-isd-daep/
campus,43902041.0,ANNA MIDDLE,ANNA MIDDLE,ANNA ISD,Collin,C,75,C,75,C,70,C,75,"1,028",REGION 10: RICHARDSON,50.0%,Middle School,/districts/anna-isd/anna-middle-school/
campus,43902101.0,JOE K BRYANT EL,JOE K BRYANT EL,ANNA ISD,Collin,C,72,C,72,C,72,C,72,696,REGION 10: RICHARDSON,51.3%,Elementary,/districts/anna-isd/joe-k-bryant-elementary-school/
campus,43902103.0,SUE EVELYN RATTAN EL,SUE EVELYN RATTAN EL,ANNA ISD,Collin,C,72,C,74,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,67,593,REGION 10: RICHARDSON,49.2%,Elementary,/districts/anna-isd/sue-evelyn-rattan-elementary-school/
campus,43902105.0,JUDITH L HARLOW EL,JUDITH L HARLOW EL,ANNA ISD,Collin,A,90,C,78,A,90,A,90,800,REGION 10: RICHARDSON,54.1%,Elementary,/districts/anna-isd/judith-l-harlow-elementary-school/
campus,43902106.0,ANNA EDUCATION CENTER,ANNA EDUCATION CENTER,ANNA ISD,Collin,C,72,Not Rated,.,Not Rated,.,Not Rated,.,99,REGION 10: RICHARDSON,75.8%,Elementary,/districts/anna-isd/anna-education-center/
campus,43902197.0,SPECIAL PROG CTR/J J A E P,SPECIAL PROG CTR/J J A E P,ANNA ISD,Collin,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,1,REGION 10: RICHARDSON,100.0%,High School,/districts/anna-isd/special-prog-ctrjjaep/
district,43903.0,CELINA ISD,,CELINA ISD,Collin,A,93,A,92,B,89,A,96,"3,351",REGION 10: RICHARDSON,14.6%,District,/districts/celina-isd/
campus,43903001.0,CELINA H S,CELINA H S,CELINA ISD,Collin,A,90,A,92,Not Rated: Senate Bill 1365,69,B,85,997,REGION 10: RICHARDSON,12.0%,High School,/districts/celina-isd/celina-high-school/
campus,43903041.0,CELINA J H,CELINA J H,CELINA ISD,Collin,A,93,A,91,A,91,A,99,767,REGION 10: RICHARDSON,12.3%,Middle School,/districts/celina-isd/celina-junior-high/
campus,43903101.0,MARCY B LYKINS EL,MARCY B LYKINS EL,CELINA ISD,Collin,A,92,A,90,B,85,A,96,634,REGION 10: RICHARDSON,17.4%,Elementary,/districts/celina-isd/marcy-b-lykins-elementary-school/
campus,43903103.0,CELINA PRI,CELINA PRI,CELINA ISD,Collin,B,89,Not Rated,.,Not Rated,.,Not Rated,.,310,REGION 10: RICHARDSON,29.0%,Elementary,/districts/celina-isd/celina-primary-school/
campus,43903104.0,O'DELL EL,O'DELL EL,CELINA ISD,Collin,B,89,A,91,B,82,B,85,643,REGION 10: RICHARDSON,11.8%,Elementary,/districts/celina-isd/odell-elementary-school/
district,43904.0,FARMERSVILLE ISD,,FARMERSVILLE ISD,Collin,B,89,A,92,A,92,B,81,"2,018",REGION 10: RICHARDSON,53.4%,District,/districts/farmersville-isd/
campus,43904001.0,FARMERSVILLE H S,FARMERSVILLE H S,FARMERSVILLE ISD,Collin,B,89,A,91,B,87,B,85,626,REGION 10: RICHARDSON,42.7%,High School,/districts/farmersville-isd/farmersville-high-school/
campus,43904041.0,FARMERSVILLE J H,FARMERSVILLE J H,FARMERSVILLE ISD,Collin,B,83,B,84,B,86,C,75,476,REGION 10: RICHARDSON,54.2%,Middle School,/districts/farmersville-isd/farmersville-junior-high/
campus,43904101.0,TATUM EL,TATUM EL,FARMERSVILLE ISD,Collin,C,79,Not Rated,.,Not Rated,.,Not Rated,.,364,REGION 10: RICHARDSON,66.8%,Elementary,/districts/farmersville-isd/tatum-elementary-school/
campus,43904102.0,FARMERSVILLE INT,FARMERSVILLE INT,FARMERSVILLE ISD,Collin,C,79,C,79,B,82,C,73,552,REGION 10: RICHARDSON,56.2%,Elementary,/districts/farmersville-isd/farmersville-intermediate-school/
district,43905.0,FRISCO ISD,,FRISCO ISD,Collin,A,95,A,94,A,92,A,96,"65,617",REGION 10: RICHARDSON,12.8%,District,/districts/frisco-isd/
campus,43905001.0,FRISCO H S,FRISCO H S,FRISCO ISD,Collin,A,90,A,92,C,79,B,84,"1,939",REGION 10: RICHARDSON,20.2%,High School,/districts/frisco-isd/frisco-high-school/
campus,43905002.0,CENTENNIAL H S,CENTENNIAL H S,FRISCO ISD,Collin,A,97,A,95,B,82,A,100,"2,067",REGION 10: RICHARDSON,10.3%,High School,/districts/frisco-isd/centennial-high-school/
campus,43905003.0,COLLIN CO J J A E P,COLLIN CO J J A E P,FRISCO ISD,Collin,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,4,REGION 10: RICHARDSON,0.0%,High School,/districts/frisco-isd/collin-co-jjaep/
campus,43905005.0,WAKELAND H S,WAKELAND H S,FRISCO ISD,Collin,A,97,A,95,B,82,A,100,"2,093",REGION 10: RICHARDSON,4.7%,High School,/districts/frisco-isd/wakeland-high-school/
campus,43905006.0,LIBERTY H S,LIBERTY H S,FRISCO ISD,Collin,A,97,A,95,B,84,A,100,"1,935",REGION 10: RICHARDSON,10.5%,High School,/districts/frisco-isd/liberty-high-school/
campus,43905007.0,HERITAGE H S,HERITAGE H S,FRISCO ISD,Collin,A,92,A,93,C,77,B,88,"2,055",REGION 10: RICHARDSON,13.5%,High School,/districts/frisco-isd/heritage-high-school/
campus,43905008.0,LONE STAR H S,LONE STAR H S,FRISCO ISD,Collin,A,90,A,92,C,72,B,85,"2,253",REGION 10: RICHARDSON,15.4%,High School,/districts/frisco-isd/lone-star-high-school/
campus,43905009.0,INDEPENDENCE H S,INDEPENDENCE H S,FRISCO ISD,Collin,A,96,A,95,B,81,A,98,"1,816",REGION 10: RICHARDSON,9.6%,High School,/districts/frisco-isd/independence-high-school/
campus,43905010.0,REEDY H S,REEDY H S,FRISCO ISD,Collin,A,97,A,97,B,82,A,96,"2,299",REGION 10: RICHARDSON,5.8%,High School,/districts/frisco-isd/reedy-high-school/
campus,43905011.0,LEBANON TRAIL H S,LEBANON TRAIL H S,FRISCO ISD,Collin,A,93,A,95,B,86,B,89,"2,019",REGION 10: RICHARDSON,13.4%,High School,/districts/frisco-isd/lebanon-trail-high-school/
campus,43905012.0,MEMORIAL H S,MEMORIAL H S,FRISCO ISD,Collin,A,90,A,91,C,78,B,86,"1,975",REGION 10: RICHARDSON,16.5%,High School,/districts/frisco-isd/memorial-high-school/
campus,43905013.0,EMERSON H S,EMERSON H S,FRISCO ISD,Collin,B,88,A,91,C,75,B,81,828,REGION 10: RICHARDSON,15.9%,High School,
campus,43905041.0,STALEY MIDDLE,STALEY MIDDLE,FRISCO ISD,Collin,B,86,B,82,B,86,B,87,580,REGION 10: RICHARDSON,39.8%,Middle School,/districts/frisco-isd/staley-middle-school/
campus,43905043.0,CLARK MIDDLE,CLARK MIDDLE,FRISCO ISD,Collin,B,88,A,90,B,86,B,84,887,REGION 10: RICHARDSON,23.1%,Middle School,/districts/frisco-isd/clark-middle-school/
campus,43905044.0,PIONEER HERITAGE MIDDLE,PIONEER HERITAGE MIDDLE,FRISCO ISD,Collin,A,97,A,95,A,92,A,100,"1,091",REGION 10: RICHARDSON,5.1%,Middle School,/districts/frisco-isd/pioneer-heritage-middle-school/
campus,43905045.0,WESTER MIDDLE,WESTER MIDDLE,FRISCO ISD,Collin,A,95,A,93,A,92,A,100,799,REGION 10: RICHARDSON,15.0%,Middle School,/districts/frisco-isd/wester-middle-school/
campus,43905046.0,GRIFFIN MIDDLE,GRIFFIN MIDDLE,FRISCO ISD,Collin,A,91,A,92,B,83,A,90,786,REGION 10: RICHARDSON,4.5%,Middle School,/districts/frisco-isd/griffin-middle-school/
campus,43905047.0,ROACH MIDDLE,ROACH MIDDLE,FRISCO ISD,Collin,A,94,A,93,A,91,A,96,929,REGION 10: RICHARDSON,15.6%,Middle School,/districts/frisco-isd/roach-middle-school/
campus,43905048.0,FOWLER MIDDLE,FOWLER MIDDLE,FRISCO ISD,Collin,A,97,A,96,A,95,A,100,963,REGION 10: RICHARDSON,10.1%,Middle School,/districts/frisco-isd/fowler-middle-school/
campus,43905049.0,STAFFORD MIDDLE,STAFFORD MIDDLE,FRISCO ISD,Collin,A,93,A,91,A,90,A,98,952,REGION 10: RICHARDSON,14.5%,Middle School,/districts/frisco-isd/stafford-middle-school/
